,0,1,2,3,4,5,6,7,8,9,10
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0
30,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
31,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
34,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0
37,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0
38,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
39,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
40,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0
41,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0
44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
45,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0
46,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0
47,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0
48,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0
49,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
51,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0
52,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
53,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0
54,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
55,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
56,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
57,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
58,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
59,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
60,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
61,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
62,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
63,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
64,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
65,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0
66,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0
67,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
68,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
69,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
70,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0
71,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0
72,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
73,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0
74,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0
75,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0
76,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0
77,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0
78,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
79,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0
80,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0
81,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0
82,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0
83,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0
84,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0
85,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0
86,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0
87,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
88,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0
89,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0
90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0
91,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0
92,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0
93,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0
94,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0
95,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0
96,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0
97,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
98,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,9.0
99,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0
100,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
101,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0
102,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
103,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0
104,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0
105,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0
106,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0
107,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0
